Root	root
BlEm	Blastocladiella emersonii
MiVi	Microbotryum violaceum
Chlorella	Chlorella sp.
CoPo_3	Coccidioides posadasii
CoHe	Bipolaris maydis
HeAn	Hemiselmis andersenii
PaBr	Paracoccidioides brasiliensis
PyTr	Pyrenophora tritici-repentis
TrAt	Trichoderma atroviride
CaDu_1	Candida dubliniensis
CaPa	Candida parapsilosis
AmQu	Amphimedon queenslandica
LeCh	Leucetta chagosensis
EpSp_1	Ephydatia
CaFo	Phyllospongia foliascens
GiIn_2	Giardia intestinalis
UsMa	Ustilago maydis 521
RaNo	Rattus norvegicus
AsNi	Aspergillus nidulans FGSC A4
AnGa	Anopheles gambiae str. PEST
CaAl	Candida albicans SC5314
OrSa	Oryza sativa Japonica Group
GiZe	Fusarium graminearum PH-1
RaNo_1	Rattus rattus
PlFa	Plasmodium falciparum 3D7
ViVu	Vibrio vulnificus CMCP6
MyHy	Mesomycoplasma hyopneumoniae 232
ClAc_1	Clostridium acetobutylicum ATCC 824
SyTh	Symbiobacterium thermophilum IAM 14863
BrRa	Brassica rapa subsp. pekinensis
BrJa	Bradyrhizobium diazoefficiens USDA 110
ViVu_1	Vibrio vulnificus YJ016
ViFi	Aliivibrio fischeri ES114
ViCh	Vibrio cholerae O1 biovar El Tor str. N16961
HoVu	Hordeum vulgare subsp. vulgare
MaGr	Pyricularia oryzae 70-15
RhPa	Rhodopseudomonas palustris CGA009
MaMa	Paramagnetospirillum magnetotacticum MS-1
DePs	Desulfotalea psychrophila LSv54
ShOn	Shewanella oneidensis MR-1
RhBa	Rhodopirellula baltica SH 1
PlYo	Plasmodium yoelii yoelii 17XNL
EnHi	Entamoeba histolytica HM-1:IMSS
NeCr	Neurospora crassa OR74A
PlBe	Plasmodium berghei ANKA
PlCh	Plasmodium chabaudi chabaudi
GiIn_4	Giardia lamblia ATCC 50803
CrNe_1a	Cryptococcus neoformans var. neoformans JEC21
OrSa_1	Oryza sativa Indica Group
DiDi	Dictyostelium discoideum AX4
AsFu_1	Aspergillus fumigatus Af293
CoIm	Coccidioides immitis RS
ChGl	Chaetomium globosum CBS 148.51
TeTh_1	Tetrahymena thermophila SB210
MeFl	Methylobacillus flagellatus KT
ClPe_3	Clostridium perfringens SM101
ShFr	Shewanella frigidimarina NCIMB 400
StPn	Streptococcus pneumoniae TIGR4
CaJe_3	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819
PsFl_1	Pseudomonas fluorescens Pf0-1
PePe	Pediococcus pentosaceus ATCC 25745
NiHa	Nitrobacter hamburgensis X14
HaCh	Hahella chejuensis KCTC 2396
PsSy	Pseudomonas syringae pv. syringae B728a
GeMe	Geobacter metallireducens GS-15
BrMe	Brucella melitensis bv. 1 str. 16M
BrAb_3	Brucella abortus bv. 1 str. 9-941
BrSu	Brucella suis 1330
PsAe	Pseudomonas aeruginosa PAO1
MeHu	Methanospirillum hungatei JF-1
MeBa	Methanosarcina barkeri str. Fusaro
MeMa	Methanococcus maripaludis S2
SaRu	Salinibacter ruber DSM 13855
CaHy	Carboxydothermus hydrogenoformans Z-2901
ClPe	Clostridium perfringens str. 13
ShDe	Shewanella denitrificans OS217
BuXe	Paraburkholderia xenovorans LB400
Ja	Jannaschia sp. CCS1
PsEn	Pseudomonas entomophila L48
SaEn_3	Salmonella enterica subsp. enterica serovar Choleraesuis
PhPr	Photobacterium profundum SS9
AePe_1	Aeropyrum pernix K1
RaEu_1	Cupriavidus pinatubonensis JMP134
IdLo	Idiomarina loihiensis L2TR
MaMa_2	Paramagnetospirillum magneticum AMB-1
DeAr	Dechloromonas aromatica RCB
AeHy_1	Aeromonas hydrophila subsp. hydrophila ATCC 7966
BaHa	Halalkalibacterium halodurans C-125
StPn_3	Streptococcus pneumoniae D39
NiWi	Nitrobacter winogradskyi Nb-255
TrEr	Trichodesmium erythraeum IMS101
SaTy	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2
BdBa	Bdellovibrio bacteriovorus HD100
LaCa	Lacticaseibacillus paracasei ATCC 334
NaPh	Natronomonas pharaonis DSM 2160
RhFe	Rhodoferax ferrireducens T118
RhRu	Rhodospirillum rubrum ATCC 11170
ViPa	Vibrio parahaemolyticus RIMD 2210633
EiTe	Eimeria tenella strain Houghton
PlVi	Plasmodium vivax Sal-1
TrVa	Trichomonas vaginalis G3
PiSt	Scheffersomyces stipitis CBS 6054
AsCl	Aspergillus clavatus NRRL 1
TrCr_1	Trypanosoma cruzi strain CL Brener
CrPa	Cryptosporidium parvum Iowa II
CrNe_1b	Cryptococcus neoformans var. neoformans B-3501A
PhNo	Parastagonospora nodorum SN15
AjCa	Ajellomyces capsulatus NAm1
NeFi	Aspergillus fischeri NRRL 181
AsGo	Eremothecium gossypii ATCC 10895
PiGu	Meyerozyma guilliermondii ATCC 6260
OsLu	Ostreococcus lucimarinus CCE9901
EnCu	Encephalitozoon cuniculi GB-M1
MiCo	Micromonas commoda
EnIn	Entamoeba invadens IP1
HyDa	Didymium dachnayum
DeHa	Debaryomyces hansenii CBS767
YaLi	Yarrowia lipolytica CLIB122
KlLa	Kluyveromyces lactis NRRL Y-1140
CaGl	Nakaseomyces glabratus CBS 138
PsSy_2	Pseudomonas syringae pv. tomato str. DC3000
ThPa	Theileria parva strain Muguga
LeMa	Leishmania major strain Friedlin
ThAn	Theileria annulata strain Ankara
CrHo	Cryptosporidium hominis TU502
TrBr	Trypanosoma brucei brucei TREU927
BoFu	Botrytis cinerea B05.10
LoEl	Lodderomyces elongisporus NRRL YB-4239
ToGo_1	Toxoplasma gondii RH
SaCe_2	Saccharomyces cerevisiae YJM789
LeIn	Leishmania infantum JPCM5
AsTe	Aspergillus terreus NIH2624
VaPo	Vanderwaltozyma polyspora DSM 70294
BaBo	Babesia bovis T2Bo
EnDi	Entamoeba dispar SAW760
ChSp	Chlorella sp. NC64A
CoPo_1	Coccidioides posadasii RMSCC 3488
CoPo_2	Coccidioides posadasii str. Silveira
DrPe	Drosophila persimilis
SaJp	Schizosaccharomyces japonicus yFS275
PyTr_2	Pyrenophora tritici-repentis Pt-1C-BFP
AsNg_3	Aspergillus niger CBS 513.88
CaBr_1	Caenorhabditis briggsae AF16
AsOr_1	Aspergillus oryzae RIB40
DrPs_2	Drosophila pseudoobscura pseudoobscura
CuQu	Culex quinquefasciatus
PeCh	Penicillium rubens Wisconsin 54-1255
PhPa	Physcomitrella patens subsp. patens
PenMa	Talaromyces marneffei ATCC 18224
AsFu_2	Aspergillus fumigatus A1163
DrSe	Drosophila sechellia
LeBr	Leishmania braziliensis MHOM/BR/75/M2904
PeHu	Pediculus humanus corporis
DrMo	Drosophila mojavensis
DrEr	Drosophila erecta
TrAe	Triticum aestivum
ToGo	Toxoplasma gondii ME49
PoAb	Pongo abelii
PoAn_1	Podospora anserina S mat+
CrMu	Cryptosporidium muris RN66
PlKn	Plasmodium knowlesi strain H
SaCe_3	Saccharomyces cerevisiae AWRI1631
SaCe_1	Saccharomyces cerevisiae RM11-1a
LaBi	Laccaria bicolor S238N-H82
MoBr	Monosiga brevicollis MX1
HaAn	Helianthus annuus
PuTa	Pinus taeda
PaTe	Paramecium tetraurelia strain d4-2
DrGr	Drosophila grimshawi
ScSc_1	Sclerotinia sclerotiorum 1980
DrSi	Drosophila simulans
PoTre	Populus tremula
ToCa	Tetronarce californica
DrSp	Drosophila sp. (in: flies)
SynCon	synthetic construct
CoCi	Coprinopsis cinerea okayama7#130
EmHu	Emiliania huxleyi CCMP1516
UnKn	unidentified
NeDi_1	Neurospora discreta
ScCo	Schizophyllum commune
CaMed	Caminibacter mediatlanticus TB-2
GeBe	Citrifermentans bemidjiense Bem
NeMu	Neisseria mucosa ATCC 25996
MeSe	Metallosphaera sedula DSM 5348
ThPs	Thalassiosira pseudonana CCMP1335
SpLi	Spirosoma linguale DSM 74
AsFl	Aspergillus flavus NRRL3357
LaLa_1	Lactococcus lactis subsp. lactis Il1403
StAur	Stigmatella aurantiaca DW4/3-1
GeM21	Geobacter sp. M21
ClBu	Clostridium butyricum E4 str. BoNT E BL5262
PhTr	Phaeodactylum tricornutum CCAP 1055/1
ClBu_1	Clostridium butyricum 5521
PsPu_3	Pseudomonas putida W619
Ro93	Roseobacter sp. MED193
CySp_4	Cyanothece sp. PCC 7425
Ru40	Ruegeria sp. TM1040
BuGr	Paraburkholderia graminis C4D1M
MoPe	Moniliophthora perniciosa FA553
AlMa	Alteromonas mediterranea
LaLa	Lactococcus cremoris subsp. cremoris MG1363
RoLi	Roseobacter litoralis Och 149
OxFo	Oxalobacter paraformigenes
HaSp_1	Harpochytrium sp. JEL105
StCa	Staphylococcus capitis SK14
ShLo	Shewanella loihica PV-4
BaPl	Phocaeicola plebeius DSM 17135
RoDe	Roseobacter denitrificans OCh 114
ShBa	Shewanella baltica OS155
AlMe_2	Alkaliphilus metalliredigens QYMF
ViSh	Vibrio mediterranei AK1
CaCl	Candidatus Cloacimonas acidaminovorans
ViHa_1	Vibrio campbellii HY01
ShBa_1	Shewanella baltica OS195
MeMa_1	Methanococcus maripaludis C7
ShBa_3	Shewanella baltica OS223
ShBa_2	Shewanella baltica OS185
GlDi	Gluconacetobacter diazotrophicus PA1 5
ViCa	Vibrio sp. AND4
ClBo_1	Clostridium botulinum B str. Eklund 17B
