ncbi_id,tracey_id,species group,species subgroup,cohort,family,tribe,class,biotype,genotype,section,order,superorder,superphylum,pathogroup,subphylum,parvorder,subfamily,species,isolate,infraorder,subkingdom,forma,phylum,strain,superkingdom,suborder,kingdom,infraclass,superclass,superfamily,subtribe,subcohort,forma specialis,serogroup,subclass,varietas,series,genus,serotype,subgenus,subspecies
1331276,17733,-,-,-,Alcaligenaceae,-,Betaproteobacteria,-,-,-,Burkholderiales,-,-,-,-,-,-,Bordetella pertussis,-,-,-,-,Pseudomonadota,Bordetella pertussis STO1-CHOC-0016,-,-,Pseudomonadati,-,-,-,-,-,-,-,-,-,-,Bordetella,-,-,-
1412617,17734,-,-,-,Enterobacteriaceae,-,Gammaproteobacteria,-,-,-,Enterobacterales,-,-,-,-,-,-,Salmonella enterica,-,-,-,-,Pseudomonadota,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120927,-,-,Pseudomonadati,-,-,-,-,-,-,-,-,-,-,Salmonella,-,-,Salmonella enterica subsp. enterica
1265663,17735,-,-,-,Enterobacteriaceae,-,Gammaproteobacteria,-,-,-,Enterobacterales,-,-,-,-,-,-,Salmonella enterica,-,-,-,-,Pseudomonadota,Salmonella enterica subsp. enterica serovar Agona str. 55.U.08,-,-,Pseudomonadati,-,-,-,-,-,-,-,-,-,-,Salmonella,-,-,Salmonella enterica subsp. enterica
1331277,17736,-,-,-,Alcaligenaceae,-,Betaproteobacteria,-,-,-,Burkholderiales,-,-,-,-,-,-,Bordetella pertussis,-,-,-,-,Pseudomonadota,Bordetella pertussis STO1-CHOC-0017,-,-,Pseudomonadati,-,-,-,-,-,-,-,-,-,-,Bordetella,-,-,-
1265656,17737,-,-,-,Enterobacteriaceae,-,Gammaproteobacteria,-,-,-,Enterobacterales,-,-,-,-,-,-,Salmonella enterica,-,-,-,-,Pseudomonadota,Salmonella enterica subsp. enterica serovar Agona str. 57.A.08,-,-,Pseudomonadati,-,-,-,-,-,-,-,-,-,-,Salmonella,-,-,Salmonella enterica subsp. enterica
1331274,17738,-,-,-,Alcaligenaceae,-,Betaproteobacteria,-,-,-,Burkholderiales,-,-,-,-,-,-,Bordetella pertussis,-,-,-,-,Pseudomonadota,Bordetella pertussis STO1-CHOM-0012,-,-,Pseudomonadati,-,-,-,-,-,-,-,-,-,-,Bordetella,-,-,-
1265657,17739,-,-,-,Enterobacteriaceae,-,Gammaproteobacteria,-,-,-,Enterobacterales,-,-,-,-,-,-,Salmonella enterica,-,-,-,-,Pseudomonadota,Salmonella enterica subsp. enterica serovar Agona str. 04.O.05,-,-,Pseudomonadati,-,-,-,-,-,-,-,-,-,-,Salmonella,-,-,Salmonella enterica subsp. enterica
1315978,17740,Pseudomonas aeruginosa group,-,-,Pseudomonadaceae,-,Gammaproteobacteria,-,-,-,Pseudomonadales,-,-,-,-,-,-,Pseudomonas aeruginosa,-,-,-,-,Pseudomonadota,Pseudomonas aeruginosa VRFPA02,-,-,Pseudomonadati,-,-,-,-,-,-,-,-,-,-,Pseudomonas,-,-,-
1331275,17741,-,-,-,Alcaligenaceae,-,Betaproteobacteria,-,-,-,Burkholderiales,-,-,-,-,-,-,Bordetella pertussis,-,-,-,-,Pseudomonadota,Bordetella pertussis STO1-CNMC-0004,-,-,Pseudomonadati,-,-,-,-,-,-,-,-,-,-,Bordetella,-,-,-
1265658,17742,-,-,-,Enterobacteriaceae,-,Gammaproteobacteria,-,-,-,Enterobacterales,-,-,-,-,-,-,Salmonella enterica,-,-,-,-,Pseudomonadota,Salmonella enterica subsp. enterica serovar Agona str. 09.F.08,-,-,Pseudomonadati,-,-,-,-,-,-,-,-,-,-,Salmonella,-,-,Salmonella enterica subsp. enterica
1331272,17743,-,-,-,Alcaligenaceae,-,Betaproteobacteria,-,-,-,Burkholderiales,-,-,-,-,-,-,Bordetella pertussis,-,-,-,-,Pseudomonadota,Bordetella pertussis I176,-,-,Pseudomonadati,-,-,-,-,-,-,-,-,-,-,Bordetella,-,-,-
1265659,17744,-,-,-,Enterobacteriaceae,-,Gammaproteobacteria,-,-,-,Enterobacterales,-,-,-,-,-,-,Salmonella enterica,-,-,-,-,Pseudomonadota,Salmonella enterica subsp. enterica serovar Agona str. 14.E.05,-,-,Pseudomonadati,-,-,-,-,-,-,-,-,-,-,Salmonella,-,-,Salmonella enterica subsp. enterica
1315976,17745,-,-,-,Enterobacteriaceae,-,Gammaproteobacteria,-,-,-,Enterobacterales,-,-,-,-,-,-,Plesiomonas shigelloides,-,-,-,-,Pseudomonadota,Plesiomonas shigelloides 302-73,-,-,Pseudomonadati,-,-,-,-,-,-,-,-,-,-,Plesiomonas,-,-,-
1331273,17746,-,-,-,Alcaligenaceae,-,Betaproteobacteria,-,-,-,Burkholderiales,-,-,-,-,-,-,Bordetella pertussis,-,-,-,-,Pseudomonadota,Bordetella pertussis STO1-CHOC-0008,-,-,Pseudomonadati,-,-,-,-,-,-,-,-,-,-,Bordetella,-,-,-
1331249,17747,-,-,-,Alcaligenaceae,-,Betaproteobacteria,-,-,-,Burkholderiales,-,-,-,-,-,-,Bordetella pertussis,-,-,-,-,Pseudomonadota,Bordetella pertussis 2371640,-,-,Pseudomonadati,-,-,-,-,-,-,-,-,-,-,Bordetella,-,-,-
1331248,17748,-,-,-,Alcaligenaceae,-,Betaproteobacteria,-,-,-,Burkholderiales,-,-,-,-,-,-,Bordetella pertussis,-,-,-,-,Pseudomonadota,Bordetella pertussis 2356847,-,-,Pseudomonadati,-,-,-,-,-,-,-,-,-,-,Bordetella,-,-,-
1331250,17749,-,-,-,Alcaligenaceae,-,Betaproteobacteria,-,-,-,Burkholderiales,-,-,-,-,-,-,Bordetella bronchiseptica,-,-,-,-,Pseudomonadota,Bordetella bronchiseptica 345,-,-,Pseudomonadati,-,-,-,-,-,-,-,-,-,-,Bordetella,-,-,-
1331253,17750,-,-,-,Alcaligenaceae,-,Betaproteobacteria,-,-,-,Burkholderiales,-,-,-,-,-,-,Bordetella pertussis,-,-,-,-,Pseudomonadota,Bordetella pertussis STO1-SEAT-0007,-,-,Pseudomonadati,-,-,-,-,-,-,-,-,-,-,Bordetella,-,-,-
1331252,17751,-,-,-,Alcaligenaceae,-,Betaproteobacteria,-,-,-,Burkholderiales,-,-,-,-,-,-,Bordetella pertussis,-,-,-,-,Pseudomonadota,Bordetella pertussis STO1-SEAT-0006,-,-,Pseudomonadati,-,-,-,-,-,-,-,-,-,-,Bordetella,-,-,-
1095629,17752,-,-,-,Hydnangiaceae,-,Agaricomycetes,-,-,-,Agaricales,-,-,-,Agaricomycotina,-,-,Laccaria amethystina,-,-,Dikarya,-,Basidiomycota,Laccaria amethystina LaAM-08-1,-,Agaricineae,Fungi,-,-,-,-,-,-,-,Agaricomycetidae,-,-,Laccaria,-,-,-
1331254,17753,-,-,-,Alcaligenaceae,-,Betaproteobacteria,-,-,-,Burkholderiales,-,-,-,-,-,-,Bordetella bronchiseptica,-,-,-,-,Pseudomonadota,Bordetella bronchiseptica OSU054,-,-,Pseudomonadati,-,-,-,-,-,-,-,-,-,-,Bordetella,-,-,-
1331256,17754,-,-,-,Alcaligenaceae,-,Betaproteobacteria,-,-,-,Burkholderiales,-,-,-,-,-,-,Bordetella hinzii,-,-,-,-,Pseudomonadota,Bordetella hinzii 4161,-,-,Pseudomonadati,-,-,-,-,-,-,-,-,-,-,Bordetella,-,-,-
1125700,17755,-,-,-,Treponemataceae,-,Spirochaetia,-,-,-,Treponematales,-,-,-,-,-,-,Treponema medium,-,-,-,-,Spirochaetota,Treponema medium ATCC 700293,-,-,Pseudomonadati,-,-,-,-,-,-,-,-,-,-,Treponema,-,-,-
1125701,17756,-,-,-,Treponemataceae,-,Spirochaetia,-,-,-,Treponematales,-,-,-,-,-,-,Treponema socranskii,-,-,-,-,Spirochaetota,Treponema socranskii subsp. paredis ATCC 35535,-,-,Pseudomonadati,-,-,-,-,-,-,-,-,-,-,Treponema,-,-,Treponema socranskii subsp. paredis
1242989,17757,-,-,-,Leptospiraceae,-,Leptospiria,-,-,-,Leptospirales,-,-,-,-,-,-,Leptospira santarosai,-,-,-,-,Spirochaetota,Leptospira santarosai serovar Shermani str. 1342KT,-,-,Pseudomonadati,-,-,-,-,-,-,-,-,-,-,Leptospira,-,-,-
1331261,17758,-,-,-,Alcaligenaceae,-,Betaproteobacteria,-,-,-,Burkholderiales,-,-,-,-,-,-,Bordetella hinzii,-,-,-,-,Pseudomonadota,Bordetella hinzii L60,-,-,Pseudomonadati,-,-,-,-,-,-,-,-,-,-,Bordetella,-,-,-
1331260,17759,-,-,-,Alcaligenaceae,-,Betaproteobacteria,-,-,-,Burkholderiales,-,-,-,-,-,-,Bordetella bronchiseptica,-,-,-,-,Pseudomonadota,Bordetella bronchiseptica F-1,-,-,Pseudomonadati,-,-,-,-,-,-,-,-,-,-,Bordetella,-,-,-
1331263,17760,-,-,-,Alcaligenaceae,-,Betaproteobacteria,-,-,-,Burkholderiales,-,-,-,-,-,-,Bordetella pertussis,-,-,-,-,Pseudomonadota,Bordetella pertussis STO1-CHLA-0011,-,-,Pseudomonadati,-,-,-,-,-,-,-,-,-,-,Bordetella,-,-,-
1125697,17761,Pseudomonas aeruginosa group,-,-,Pseudomonadaceae,-,Gammaproteobacteria,-,-,-,Pseudomonadales,-,-,-,-,-,-,Pseudomonas aeruginosa,-,-,-,-,Pseudomonadota,Pseudomonas aeruginosa str. Stone 130,-,-,Pseudomonadati,-,-,-,-,-,-,-,-,-,-,Pseudomonas,-,-,-
1095642,17762,-,-,-,Vibrionaceae,-,Gammaproteobacteria,-,-,-,Vibrionales,-,-,-,-,-,-,Vibrio cholerae,-,-,-,-,Pseudomonadota,Vibrio cholerae O1 str. Nep-21106,-,-,Pseudomonadati,-,-,-,-,-,-,Vibrio cholerae O1,-,-,-,Vibrio,-,-,-
1331232,17763,-,-,-,Alcaligenaceae,-,Betaproteobacteria,-,-,-,Burkholderiales,-,-,-,-,-,-,Bordetella bronchiseptica,-,-,-,-,Pseudomonadota,Bordetella bronchiseptica MBORD731,-,-,Pseudomonadati,-,-,-,-,-,-,-,-,-,-,Bordetella,-,-,-
